FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.38,3.55,3.79,3.9,4.0,4.5,4.82,5.0
A,Annual,ABW,Aruba,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,5.14,5.51,6.09,6.06,6.05,6.66,7.1,7.28
A,Annual,ABW,Aruba,FAO_CAHD_7007,Cost of starchy staples,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.56,,,
A,Annual,ABW,Aruba,FAO_CAHD_7007,Cost of starchy staples,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.85,,,
A,Annual,ABW,Aruba,FAO_CAHD_7008,Cost of animal source foods,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.74,,,
A,Annual,ABW,Aruba,FAO_CAHD_7008,Cost of animal source foods,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.11,,,
A,Annual,ABW,Aruba,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.46,,,
A,Annual,ABW,Aruba,FAO_CAHD_7009,"Cost of legumes, nuts and seeds",XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.7,,,
A,Annual,ABW,Aruba,FAO_CAHD_7010,Cost of vegetables,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.0,,,
A,Annual,ABW,Aruba,FAO_CAHD_7010,Cost of vegetables,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.51,,,
A,Annual,ABW,Aruba,FAO_CAHD_7011,Cost of fruits,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.09,,,
A,Annual,ABW,Aruba,FAO_CAHD_7011,Cost of fruits,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,1.65,,,
A,Annual,ABW,Aruba,FAO_CAHD_7012,Cost of oils and fats,PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.14,,,
A,Annual,ABW,Aruba,FAO_CAHD_7012,Cost of oils and fats,XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,,,,,0.22,,,
A,Annual,AGO,Angola,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),PPP_PS_D,PPP dollars per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,3.18,3.27,3.43,3.7,4.11,4.55,4.72,5.0
A,Annual,AGO,Angola,FAO_CAHD_7004,Cost of a healthy diet (PPP dollar per person per day),XDC_PS_D,Domestic currency per person per day,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,368.84,427.54,498.12,633.06,836.22,1041.36,1178.31,1554.61
A,Annual,AGO,Angola,FAO_CAHD_7005,Percentage of the population unable to afford a healthy diet (percent),PT,Percentage,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),0,Units,A,Normal value,PU,Public,60.7,63.2,64.2,68.1,69.8,70.5,70.8,71.4
A,Annual,AGO,Angola,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),PS,Persons,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,A,Normal value,PU,Public,18.4,19.8,20.8,22.8,24.1,25.1,26.0,27.1
