"ref_area_label","cost_of_a_healthy_diet_ppp_dollar_per_person_per_day_ppp_ps_d","cost_of_animal_source_foods_ppp_ps_d","cost_of_fruits_ppp_ps_d","cost_of_legumes_nuts_and_seeds_ppp_ps_d","cost_of_oils_and_fats_ppp_ps_d","cost_of_starchy_staples_ppp_ps_d","cost_of_vegetables_ppp_ps_d","number_of_people_unable_to_afford_a_healthy_diet_million_ps","percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt"
"Albania","3.49","1.13","0.77","0.41","0.11","0.47","0.6","0.4","12.6"
"Algeria","4.47","1.36","1.1","0.58","0.15","0.56","0.72","8.8","19.6"
"Angola","4.11","1.15","0.75","0.42","0.21","1.15","0.44","24.1","69.8"
"Armenia","3.8","1.04","0.92","0.4","0.25","0.59","0.6","1.6","54.4"
"Australia","2.61","0.5","0.78","0.27","0.08","0.25","0.73","0.8","3.2"
"Austria","2.42","0.55","0.72","0.1","0.06","0.27","0.72","0.3","2.9"
"Azerbaijan","3.44","1.09","0.66","0.37","0.18","0.68","0.46","0.1","0.8"
"Bangladesh","3.83","1.55","0.66","0.27","0.13","0.46","0.76","88.3","52.6"
"Belarus","3.3","0.84","0.94","0.26","0.2","0.59","0.48","0.1","1.0"
"Belgium","2.26","0.53","0.74","0.1","0.05","0.22","0.62","0.1","0.7"
"Belize","3.52","0.88","0.28","0.35","0.13","0.65","1.22","0.3","65.7"
"Benin","3.07","1.09","0.36","0.3","0.18","0.58","0.57","8.1","60.3"
"Bhutan","5.14","1.39","1.5","0.41","0.26","0.58","0.99","0.2","22.3"
"Bolivia","3.96","1.24","0.67","0.4","0.17","0.78","0.71","1.1","9.1"
"Bosnia and Herzegovina","4.54","1.01","0.73","0.61","0.37","0.64","1.17","0.2","5.3"
"Botswana","3.41","1.2","0.43","0.47","0.16","0.56","0.58","1.5","60.7"
"Brazil","3.97","0.85","0.67","0.97","0.14","0.64","0.69","62.4","29.8"
"Bulgaria","3.93","0.98","0.87","0.42","0.14","0.67","0.85","0.4","6.1"
"Burkina Faso","2.97","0.92","0.39","0.33","0.23","0.53","0.57","13.3","60.7"
"Burundi","3.54","1.6","0.45","0.25","0.14","0.68","0.42","11.5","88.9"
"Cabo Verde","2.92","0.71","0.51","0.28","0.11","0.35","0.96","0.2","33.0"
"Cameroon","3.41","1.6","0.27","0.3","0.18","0.66","0.39","14.7","54.5"
"Canada","3.52","0.95","0.91","0.31","0.07","0.39","0.88","1.2","3.0"
"Central African Republic","3.63","1.47","0.23","0.23","0.14","0.62","0.94","4.4","86.4"
"Chad","3.04","0.97","0.27","0.37","0.19","0.82","0.43","10.7","60.2"
"Chile","3.87","0.8","0.75","0.41","0.27","0.59","1.05","8.3","42.6"
"China","3.13","0.91","0.74","0.3","0.13","0.46","0.6","221.4","15.5"
"Colombia","3.3","0.87","0.53","0.3","0.23","0.56","0.8","19.6","38.3"
"Comoros","4.48","1.39","0.47","0.41","0.21","0.84","1.14","0.5","63.7"
"Congo, Dem. Rep.","3.11","1.61","0.27","0.25","0.12","0.55","0.3","90.7","91.5"
"Congo, Rep.","3.74","1.23","0.41","0.51","0.13","0.68","0.77","4.6","78.4"
"Costa Rica","3.7","0.95","0.58","0.43","0.13","0.75","0.86","0.8","16.1"
"Cote d'Ivoire","2.91","1.37","0.27","0.16","0.18","0.61","0.31","14.9","50.3"
"Croatia","3.71","1.05","0.76","0.34","0.09","0.57","0.88","0.6","15.4"
"Czechia","2.9","0.74","0.61","0.35","0.08","0.4","0.72","0.4","3.8"
"Djibouti","3.4","1.38","0.46","0.21","0.13","0.58","0.64","0.6","55.0"
"Dominican Republic","4.41","1.32","0.58","0.56","0.29","0.72","0.95","2.9","26.4"
"Ecuador","2.91","0.89","0.38","0.32","0.17","0.73","0.44","4.8","27.2"
"Egypt, Arab Rep.","4.01","1.65","0.42","0.49","0.25","0.68","0.52","46.6","42.0"
"Estonia","3.34","0.74","0.64","0.71","0.08","0.35","0.81","0.1","5.2"
"Eswatini","3.62","1.32","0.32","0.35","0.25","0.55","0.82","0.8","65.3"
"Ethiopia","3.88","1.47","0.83","0.34","0.18","0.66","0.39","70.8","57.9"
"Fiji","3.81","1.09","0.68","0.33","0.19","0.54","0.99","0.6","66.6"
"France","2.96","0.56","0.86","0.26","0.07","0.29","0.92","2.1","3.1"
"Gabon","3.81","1.08","0.47","0.39","0.15","0.62","1.09","0.9","36.1"
"Gambia, The","3.45","1.08","0.47","0.33","0.26","0.92","0.38","1.1","44.6"
"Germany","3.1","0.66","0.89","0.32","0.07","0.3","0.86","1.9","2.2"
