ref_area_label,cluster,percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt
Belgium,0,0.7
Azerbaijan,0,0.8
Belarus,0,1.0
Ireland,0,1.1
Netherlands,0,1.1
Switzerland,0,1.2
Russian Federation,0,1.4
Norway,0,1.6
Germany,0,2.2
Lebanon,0,2.2
United States,0,2.5
United Arab Emirates,0,2.6
Austria,0,2.9
Malaysia,0,2.9
Canada,0,3.0
United Kingdom,0,3.0
France,0,3.1
Australia,0,3.2
New Zealand,0,3.2
Sweden,0,3.6
Czechia,0,3.8
Kazakhstan,0,5.1
Estonia,0,5.2
"Korea, Rep.",0,5.2
Bosnia and Herzegovina,0,5.3
"Taiwan, China",0,5.7
Bulgaria,0,6.1
West Bank and Gaza,0,6.2
Tunisia,0,7.3
Italy,0,7.6
Japan,0,8.0
Poland,0,8.0
Serbia,0,8.8
Lithuania,0,8.9
Bolivia,0,9.1
Spain,0,9.3
Turkiye,0,9.6
Moldova,0,10.2
Viet Nam,0,10.5
Morocco,0,12.2
Albania,0,12.6
Montenegro,0,12.6
Portugal,0,13.0
Jordan,0,13.2
Hungary,0,13.5
Latvia,0,14.2
Croatia,0,15.4
China,0,15.5
Costa Rica,0,16.1
Uzbekistan,0,16.1
Mauritius,1,17.5
North Macedonia,1,18.1
Israel,1,18.2
Slovak Republic,1,18.7
Algeria,1,19.6
Thailand,1,19.9
Greece,1,21.1
Bhutan,1,22.3
Mongolia,1,22.5
Jamaica,1,22.9
Nepal,1,24.4
Mexico,1,24.7
Paraguay,1,24.8
Suriname,1,25.7
Dominican Republic,1,26.4
Ecuador,1,27.2
Nicaragua,1,27.3
Iraq,1,27.8
Brazil,1,29.8
Tajikistan,1,29.8
Cabo Verde,1,33.0
Peru,1,33.6
Gabon,1,36.1
Kyrgyz Republic,1,36.7
Sri Lanka,1,37.5
Uruguay,1,37.6
Colombia,1,38.3
Trinidad and Tobago,1,38.6
Honduras,1,39.3
"Egypt, Arab Rep.",2,42.0
Chile,2,42.6
Guinea,2,43.9
"Gambia, The",2,44.6
Sudan,2,45.2
Panama,2,45.7
Indonesia,2,46.8
Senegal,2,47.6
Guatemala,2,48.8
Sao Tome and Principe,2,49.0
Philippines,2,49.8
Cote d'Ivoire,2,50.3
India,2,51.6
Syrian Arab Republic,2,52.5
Bangladesh,2,52.6
Armenia,2,54.4
Cameroon,2,54.5
Djibouti,2,55.0
Togo,2,55.1
Mauritania,2,56.1
Lao PDR,2,57.3
Mali,2,57.7
Ethiopia,2,57.9
Romania,2,59.0
Pakistan,2,59.4
Namibia,2,59.6
Chad,2,60.2
Benin,2,60.3
Botswana,2,60.7
Burkina Faso,2,60.7
Sierra Leone,2,60.9
South Africa,2,61.1
Ghana,2,63.5
Comoros,2,63.7
Guinea-Bissau,2,65.0
Eswatini,2,65.3
Belize,2,65.7
Fiji,2,66.6
Liberia,2,67.4
Angola,3,69.8
Uganda,3,71.5
Rwanda,3,74.1
Tanzania,3,74.5
Lesotho,3,76.8
Nigeria,3,77.5
Kenya,3,77.6
"Congo, Rep.",3,78.4
Zambia,3,81.3
Central African Republic,3,86.4
Niger,3,87.0
Malawi,3,88.3
Burundi,3,88.9
Mozambique,3,88.9
"Congo, Dem. Rep.",3,91.5
South Sudan,3,91.9
Madagascar,3,93.8
