ref_area_label,cluster,percentage_of_the_population_unable_to_afford_a_healthy_diet_percent_pt
Belgium,0,0.7
Azerbaijan,0,0.8
Belarus,0,1.0
Ireland,0,1.1
Netherlands,0,1.1
Switzerland,0,1.2
Russian Federation,0,1.4
Norway,0,1.6
Germany,0,2.2
Lebanon,0,2.2
United States,0,2.5
Mauritius,1,17.5
North Macedonia,1,18.1
Israel,1,18.2
Slovak Republic,1,18.7
Algeria,1,19.6
Thailand,1,19.9
Greece,1,21.1
Bhutan,1,22.3
Mongolia,1,22.5
Jamaica,1,22.9
"Egypt, Arab Rep.",2,42.0
Chile,2,42.6
Guinea,2,43.9
"Gambia, The",2,44.6
Sudan,2,45.2
Panama,2,45.7
Indonesia,2,46.8
Senegal,2,47.6
Guatemala,2,48.8
Sao Tome and Principe,2,49.0
Angola,3,69.8
Uganda,3,71.5
Rwanda,3,74.1
Tanzania,3,74.5
Lesotho,3,76.8
Nigeria,3,77.5
Kenya,3,77.6
"Congo, Rep.",3,78.4
Zambia,3,81.3
Central African Republic,3,86.4
